Template Use Case/Title,Applicable SOPs,Text,Last Updated
Backordered,,"Hi Wayfair Team, PO XXX has been backordered to XXX. Due to carrier delays, tracking can take up to 10 days to show movement from the new ship date. Thank you",
CSO Outreach Needed,,"Hi Wayfair Team, The customer has reopened this ticket regarding PO XXXXX with questions outside of WIMS scope or they have entered a 2nd ticket. Please assist the customer with an appropriate resolution. Thank you,",
"CT Responded to Ticket, No Response Needed",WIMS - Ship Status SOP (DSC2S) Process Cancelled/Refunded,"Hi Wayfair Team, I&rsquo;m closing this ticket for PO [PO Number] as the customer reopened it and a response is not needed. If this is incorrect, please reopen the ticket with an explanation. Thank you,",
Customer Service Reopen,WIMS - Ship Status SOP (DSC2S) Before You Start,"Hello Wayfair Team, All expectations have been set at this time or are readily available within the order notes; this ticket will now be closed with no customer outreach. Please review the order notes before submitting a new ticket. This ticket should not be reopened. Thank you,",
Declaring PO LIT/Incomplete (Already replaced once),,"Hi Wayfair Team, LOST IN TRANSIT PO XXXXX has been deemed as lost in transit as we no longer believe that this PO will be located in a reasonable amount of time. INCOMPLETE PO XXXXX has been deemed as incomplete as we no longer believe that this PO will be fulfilled in a reasonable amount of time. Because this PO has already been replaced previously, we are asking that you please work with the customer to provide an alternative resolution that is in their best interest. Thank you,",
Duplicate Ticket,WIMS - Ship Status SOP (DSC2S) Process Duplicate,"Hi Wayfair Team, This is a duplicate ticket. Please refer to ticket XXX for further updates in regards to this PO XXXX. If this is incorrect please reopen with an explanation. Thank you,",
GE Appliances,,"Hi Wayfair Team, GE Appliances is part of our Warm Transfer Program and handles all shipping inquiries. They need to be contacted directly for all shipping inquiries on PO XXXX as they do not use Wayfair's ticketing system to provide updates. Thank you,",
Incomplete PO,,"Hi Wayfair Team, I&rsquo;m deeming PO XXX incomplete as we have either: Not received the BOL from the supplier The supplier has confirmed this never shipped It was shipped through a small parcel carrier to the warehouse. I&rsquo;m sending the ticket to an internal team to process an alternative resolution. Wayfair team, please reach out to the customer and assist with an alternate resolution. Thank you",
Incorrect Ship Date,,"Hi Wayfair Team, PO XXXX is scheduled to ship on XXX. It is a known issue where our order details page is not accurately reflecting the ship date that the supplier sees. Please give 10 days after this date for the order to be marked as shipped and tracking to show movement. Thank you,",
Initiated Dock Search,WIMS - Ship Status SOP (DSC2S) Process Other Reasons for Outreach,"Hi Wayfair Team, We have initiated a dock search on PO: XXXX. Please monitor and follow up with the customer as needed. Thank you",
MasterBrand Send To CSO,,"Hello Wayfair Team, Ship status tickets shouldn't be entered for this supplier as the customer needs to be warm transferred to the supplier and WIMS does not have the ability to do so. Please call the customer so that they can be warm transferred. Below is the info hub and phone number to the supplier. Masterbrand: 844-896-0555 M-F 7:30am to 8pm: transfer call to supplier&rsquo;s hotline All other times: provide customer with the hotline number & operating hours https://wayfaircorp.atlassian.net/wiki/display/SS/Cabinetry+for+Customer+Service Thank you,",
Merch Ticket Entered for Kit Correction,,"Hi Wayfair Team, Our listing for this item is incorrect so the missing items will need to be reordered. I&rsquo;ve submitted a ticket requesting that the SKU be updated. Please assist the customer accordingly. Thank you",
OOS PO,,"Hello Wayfair Team, This customer has reached out regarding PO XXX, which is a known out-of-stock item. This order is still on track based upon the original delivery estimate. Please contact the customer and discuss the option of canceling the order to find an alternate item if they choose not to wait. Thank you,",
"PO Canceled, Refunded, Replaced, Returned - Bannered Order",WIMS - Ship Status SOP (DSC2S) Process Has Scan Data,"Hi Wayfair Team, I&rsquo;m closing this ticket as I believe it is no longer needed as PO XXX has been Replaced, Refunded, Returned, Canceled, Found, or Delivered. If this is incorrect, please reopen the ticket with an explanation. Thank you",
Replacement Part Template,,"Hello Wayfair team, All replacement part inquiries are handled by RPOps. Please refer to ticket XXXXX for replacement part updates regarding PO XXXX. Thank you,",
Samsung,,"Hi Wayfair Team, Samsung is part of our Warm Transfer Program and handles all shipping inquiries. They need to be contacted directly for all shipping inquiries on PO XXXX as they do not use Wayfair's ticketing system to provide updates. Thank you,",
Update CSO for OON Shipments,WIMS - Ship Status SOP (DSC2S) Process Incomplete,"Hello Wayfair Team, The WIMS ticket is not supplier facing. The supplier has shipped out of network and Wayfair cannot track. The carrier/supplier will need to be contacted directly for transit updates. Thank you",
WIMS Credit Card Dispute,WIMS - Ship Status SOP (DSC2S) Credit Card Disputes,"Hi Wayfair Team, Please note that WCRT is unable to assist on orders with an active credit card dispute. This ticket will be closed and marked as completed.",
