Template Use Case/Title,Applicable SOPs,Text,Last Updated
Canceled LP PO,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT ENTER_PO has been canceled by APPROVER on DATE. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Carrier Changed (Do not re-register),,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT PO# We have changed the carrier to CARRIER_NAME. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Carrier Removed From Matrix,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT I have removed CARRIER_NAME from your logistics matrix. You can now re-register the affected PO&rsquo;s. Our system will automatically assign a new carrier and send a new pick up request. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Carrier/Supplier Script Combined for Missed Pickup **Make sure PO is in the subject line of the email**,Insert link to SOP,"*Please note this thread is visible to all parties involved in this pickup request. For your convenience, the BOL is attached to this email. Hi CARRIER_NAME, Please schedule a pickup for PO# XXX within the next 24 hours. Please put this PO back on board for the next scheduled pickup. CLOSING, FIRST_NAME_LAST_INITIAL _________________________________________________________________________________ Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT The pickup request for PO XXX has been sent to CARRIER to resolve the missed pickup. If this pick up is not completed by EOD ENTER_DATE, please reopen this ticket to let us know. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
"Incomplete Shipment - Confirmed ***Be sure that the original PO is still on dock and confirmed by the supplier. Send ""marked shipped"" script above if not.**",,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT We have received confirmation that ENTER_PO has been marked as shipped in the system and will need to be replaced. The new PO is ENTER_PO and will appear in your order queue as usual. Please use the BOL for the new PO which is attached for your convenience. If you have further concerns regarding the replacement of this PO please let us know and we will be happy to assist. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Marked Shipped - Unconfirmed,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT We have received confirmation that ENTER_PO has been marked as shipped. If the shipment is still on your dock, please respond to this ticket so we can get this replaced. Once a PO is marked as shipped in the system, we can not change this status back to waiting. If the PO has already been successfully shipped before receiving our response, there is no need to take any further action, and you may disregard this message. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Not registered,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT ENTER_PO is currently not registered. Please proceed with registering this shipment. Once this is complete if there are still concerns please reopen this ticket and we will be happy to assist you. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Pickup update request,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT I have reached out to CARRIER_NAME to receive an update for this pickup. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
"PO marked ""Not ready"" more than once and not on a current route",,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT Please re-register this shipment for ENTER_PO in order for the pickup to be rescheduled. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Registered within the last 2 business days,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT ENTER_PO was registered on ENTER_DATE. Please allow until EOD ENTER_DATE for the pick up to occur. If the pick up has not been completed by then, please reopen this ticket on ENTER_DATE and we will follow up with the carrier. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
Supplier/Customs Documents Request,,"Hi SUPPLIER_NAME, TAILORED_EMPATHY/ASSURANCE_STATEMENT [PO Number] Once the item has been marked as shipped and is in the possession of the carrier, all commercial invoices are sent directly to the customs broker. Please note that these invoices are not provided in advance. This process has been agreed upon by all LTL carriers and is designed to ensure a smooth shipping process. I have attached the BOL for your convenience. Please proceed with the shipment. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. CLOSING, FIRST_NAME_LAST_INITIAL",
SU Requests Proof of Delivery,,"Hi [Supplier Name], Thank you for reaching out regarding [PO Number]. I can review this process with you today. As tracking for this PO is only available internally due to the assigned carrier, there is no proof of delivery that we are able to share with our supplier partners. Once the carrier has completed the pick up, your team should retain a copy of the BOL signed by the driver for your records as this serves as your proof of pick up. We want to make sure all your concerns are heard, so please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. FIRST_NAME_LAST_INITIAL",
