Template Use Case/Title,Applicable SOPs,Text,Last Updated
Cancellation Pushback,Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [supplier name], We sincerely appreciate you notifying us of the current status of this PO. Please note that it is not our policy to cancel orders without a customer request. If you could please respond to this ticket and confirm the reason for cancellation, I will be happy to help determine the next steps. I will keep this ticket open in the meantime so that you may provide more information. If you have additional questions or concerns for us, please don't hesitate to pass those along as well. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Returned/Refunded but NOT Shipped,Cancellation Inquiry SOP (DSC2S) - VCN,"ALERT Wizard has been on an unshipped order - please delete the return and process cancellation Hello [Supplier Team], Thank you for reaching out. I am happy to review this with you today. Please note, [PO] has already been refunded in full to the customer and no longer requires fulfillment. To ensure that your team does not process this order, I have canceled this PO. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Unable to Cancel PO (Returned/Refunded PO),Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [Supplier Name], We appreciate your patience while we reviewed this issue. I am happy to review more information on this with you today. I&rsquo;m afraid that due to current limitations in our system, we are unable to cancel this PO, and as such it will remain in a [current PO status in PH] status. We do apologize for the inconvenience that this causes, and appreciate your understanding and continued partnership with Wayfair. If you have questions or concerns about a new order or PO, we encourage you to enter a new ticket to our team and we&rsquo;re happy to help advise. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Best Regards,",
Incorrect Cancellation by Wayfair,Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this cancellation. I can review this order for you today. I show this PO was automatically confirmed as canceled by a Wayfair employee. It does not appear it should have been. This cancellation cannot be reversed. I will be moving this ticket to the Finance Operations Team&rsquo;s queue to help address your request. Please be on the lookout for their follow-up both on this ticket within 72 hours. Please do not close this ticket until the issue is resolved with their team. For future dispute requests, please enter a General Payment Inquiry ticket or enter a dispute. To enter the General Payment Inquiry ticket, please click submit a ticket on the left hand side in Partner Home > Accounting > General Payment Inquiry. To file a dispute, please use the Finance tab > Payment Summary > Search by the Voucher or PO number the deductions were taken from. > Click View > Click Further Questions to submit a ticket. Note: The Partner Home ticket identifier will change from AOPS- to FINSAP-. Best,",
Cancelled PO shipped,Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [Supplier Name], Thank you for reaching out. I can review this PO with you today. Once a cancellation has been confirmed, there isn't an option to revert the status. Additionally, Wayfair is unable to provide direct assistance with mis-shipped item retrieval. Our Help Center on Partner Home has more and detailed information on order cancellations, please see this article: https://partners.wayfair.com/help/2/article/2569 If our mutual customer reports receiving the order, our customer service specialists will work directly with them to help arrange for the item to be returned. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
Partial Cancellation Clarification,Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out. I can review this order with you today. This was only a partial cancellation of the order. It is still expected that the other portion of this order be processed and shipped to the customer. Please refer to the Dropship Orders page to review the active items to be processed and shipped. Please reopen this ticket if you require a new PO to process the open items. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
PO Automatically Cancelled,Cancellation Inquiry SOP (DSC2S) - VCN,"Hi (Supplier Name), Thank you for reaching out about the cancellation of (PO#). I am happy to review the status of this PO with you. Our mutual customer requested cancellation for this order (date+time of request in order trail). This PO was automatically confirmed as canceled. As of January 1st 2024, we have implemented a new cancellation policy that includes the following important changes to cancellations: If a customer requests to cancel within 30 minutes of placing the order, the cancellation will be processed immediately. Orders with a Pending Cancellation status for over 24 hours, excluding weekends, will be automatically canceled. These changes aim to strengthen the relationship with our mutual customers by ensuring a better shopping experience for them. To minimize any impact on your day-to-day operations with us, please familiarize yourself with our updated cancellation policy here: https://partners.wayfair.com/help/2/article/2569 Thank you for your continued partnership, and if you have additional questions or concerns for us on this, please don&rsquo;t hesitate to reach back out in this thread; otherwise, if we&rsquo;ve addressed all your needs for the time being, I hope you have a great rest of your day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Best,",
Order cancelled as PO was BO (Cancelled_via_BO),Cancellation Inquiry SOP (DSC2S) - VCN,"Hi {SU name}/Team, I understand it can be frustrating when an order is cancelled. This order was delayed by more than 3 business days past its expected ship date. The customer therefore submitted a cancellation request. When an order is delayed by more than 3 business days, a cancellation request from the customer is auto confirmed. This cancellation canno t be undone. If you want to know more about order cancellations, our Partner Home Help Center offers this resource: https://partners.wayfair.com/help/2/article/2569 Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
PO Cancelled - PO Shipped while in Backorder,Cancellation Inquiry SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this canceled order. I am happy to provide clarification. The PO was backordered past the expected ship date; when this happens, a cancellation request can be submitted by our mutual customer and automatically confirmed. Once a cancellation is processed, the system does not allow me to change the status out of cancellation. If the customer reports receiving the order, our customer service team will help to arrange a return of the item back to your team. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Customer Canceled Replacement Part Request (CT_Cancelled_RP_Request),Cancellation Inquiry SOP (DSC2S) - VCN,"Hi {SU name}/Team, Thank you for reaching out regarding the cancellation of the replacement part for PO: (insert PO Number) . In this case, the customer decided to cancel the replacement part and opted for an alternative resolution. This decision was made independently and does not relate to SLA breaches or delays. If there are any associated costs or deductions related to this cancellation, we encourage you to review and dispute these charges through the Deductions section on Wayfair Partner Home. For more information, you can visit the https://partners.wayfair.com/help/2/article/2666 Thank you for your understanding and cooperation. If further assistance is needed, please do not hesitate to respond to this message. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards, [Your Name]",
