Template Use Case/Title,Applicable SOPs,Text,Last Updated
Lead Time Expectations Geo : Global,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out regarding your lead time update request. Lead times directly impact the delivery estimates customers see on site, so we need some additional information before making any changes. Wayfair&rsquo;s expectation for non-Made to Order products is: Small Parcel: shipped within 1 business day Large Parcel: ready for pickup within 2 business days (NA) or 1 business day (EU) If you cannot meet this expectation, please provide: The business reason for the change and why the current lead time is no longer sufficient Any operational constraints impacting fulfillment (e.g. warehouse processing, staffing, or carrier pickup limitations) Updated lead times for: Large Parcel: Small Parcel: Confirmation that the updated lead times align with carrier collection schedules Whether this is a temporary or permanent change (and timeframe if temporary) Please also note that submitting an ASN or marking an order as shipped does not confirm carrier induction. Orders may still appear overdue until the first carrier scan is received. See New Dropship Order Status Changes article on Partner Home for more information . If you cannot meet the Must Ship By Date on an order, please submit an order delay via: Primary Reason: Order Not Processed On Time > Expected Ship Date > Submit Thank you, [AGENT NAME]",
Supplier Cannot Meet BULK Lead Time Expectation Geo : NA,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for providing the reason behind your request. We have submitted your request to our internal team for approval. The average turnaround time for these requests is 5 business days. If your lead time(s) have not changed after this time period, please follow up on this thread. Please backorder the order(s) in the meantime . You can tell if your lead time has changed through Must Ship by Date, as it is calculated using lead time. For reference, your cutoff time is [INSERT Cutoff Times] . Here is how we calculate Must Ship by Date: If the order is placed after cutoffs time, Must Ship by Date = Order Date + Lead Time If the order is placed before cutoffs time, Must Ship by Date = Order Date + Lead Time - 1 day If you have any remaining questions on this topic, please respond directly to this email and we will be happy to help. If you need assistance with another topic, please reach out to supplierservicedesk@wayfair.com to create a new ticket. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Lead Time Method Change Request,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. Your current lead time method setting is [bulk based, meaning you have one consistent lead time for all small parcel products and for large parcel products] OR [product level based, meaning you set lead times for each individual product and currently have Made To Order products] . Please confirm the following: You would like to switch to [bulk based OR product level] lead time settings. In an effort to align with our lead time expectations, we only allow SKU specific lead times for Made to Order products to keep customer's experience and expectations consistent across the Wayfair platform. Can you provide insight into why you are requesting this change? Before updating your lead times, please confirm that the new lead time is compatible with your carrier's collections. Please let me know if you have any additional questions. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Access to LTSS - Need to Confirm MTO,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. In order to proceed with requesting access to the Lead Time Self Service tool, could you please confirm if your products are Made to Order and how much of your current catalog is Made to Order? Please note that in an effort to align with our lead time expectations, we can only allow access to the LTSS tool if your products are confirmed to be MTO. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Access to LTSS - Supplier is NOT MTO,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. As you currently do not have any Made to Order products, we will need to update your lead time settings based on parcel type which will ensure you will have one consistent lead time for all small parcel products and for large parcel products. Please let us know if you would like to make an update to your setting based on parcel type level and I am happy to submit a request to our internal team for approval! Please respond with the following information: The updated lead times you can meet based on parcel type: Large Parcel: Small Parcel: Have you confirmed that the new lead time is compatible with your carrier's collections? Is this a permanent change or a temporary change? If temporary please provide the time frame. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Self Service Update Lead Times (LTSS),Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. You are able to update your lead times via the Lead Time Self Service tool. In order to do so, please navigate to Partner Home > Your Account Icon >&lsquo;Lead Time Settings&rsquo; . From here, you are able to download the file, make any necessary changes, and then reupload the file. If you experience any trouble while uploading the file, please kindly attach your file in your response email on this thread and we will troubleshoot on our end. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Lead Time on an Order is Shorter than Expected medium note Fill in highlighted portions with lead time information from the Global FS&R Toolkit > Fulfillment Metrics,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. Upon further investigation, your Must Ship by Date aligns with the input you provided us through the survey. You can ship [small parcel in [] hours / large parcel in [] hours. By adding your lead time to the order date, it matches with the Must Ship by Date. Your cutoff time is [Cutoff Times]. Here is how we calculate Must Ship by Date: If the order is placed after cutoffs time, Must Ship by Date = Order Date + lead time If the order is placed before cutoffs time, Must Ship by Date = Order Date + lead time - 1 day Please let us know if you have questions. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Dropship Speed Badging Overview,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. The ship badge is assigned automatically. There are 2 factors that decide delivery promise time on site: lead time and transit time. Transit time depends on the location of the customer. Therefore, your products might be eligible for a location but not for others. In order to be eligible for a speed badge on site, orders from your warehouse(s) must constantly and consistently ship the same-day and deliver on-time to customers. Dropship Requirements - Overall Small Parcel Performance Accurate child-level inventory feeds Same-day shipping on all orders placed prior to your warehouse cutoff time 98% on-time fulfillment for all orders 94% on-time delivery for all orders. Best practices to meet our same day requirements: Download orders multiple times per day Arrange for later pick up with FedEx Pull orders through 2:30pm to be shipped same day Weekend or additional shifts Multiple pickups during the day Prioritize Wayfair orders Hourly inventory feeds Note: We do not want you to send inventory more frequently than it is being updated. For items with delivery estimates that are between 3 - 5 days (US Only) away, ""Fast Delivery"" badge will be attached to the product. If you have any questions, please do not hesitate to reach out. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
Delivery Promise Education,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. Below is the difference between the lead time and the on-site delivery promise. The Lead Time is set in the system by the supplier or by a Wayfair employee and is always counted in business days (5 days a week - Monday through Friday), while the Delivery Promise displayed on site is a customer-facing value expressed in calendar days (7 days a week - Monday through Sunday) . This is why the Delivery Promise doesn&rsquo;t equal the Lead Time in the system. Please see the below example to understand the difference between Lead Time to Delivery Promise: 480 hours Lead Time = 20 business days = 28 calendar days (weekends included) = Delivery Promise of 4 weeks. Moreover, additional time pads are applied to prevent any unforeseen problem from delaying the delivery promise. Supplier Lead Time Pads are additional time pads applied on top of the base lead time (in 24h increments), used to adjust Lead Time per day of the week & are applied based on order date/day of week. Carrier Lead Time Pads are cushions set to bridge the gap between base lead time and actual performance covering 95% of shipped orders. They are updated once every two weeks and cannot be set up on a SKU level. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
SKU Based Lead Time Pushback,Lead Times SOP (DSC2S) - VCN,"Hi [INSERT SUPPLIER NAME], Thank you for reaching out. I'm happy to address this for you today. At the moment, we are able to offer the Product based Lead Time to Made to Order Suppliers only. For this reason, we would need to update your Lead Time method to Bulk, which is lead time assigned to Ship Class (SP or LT ). This will allow you to have separate Lead Times based on Parcel Types. This allows us to improve Customer experience and to keep our delivery reliable and have stable metrics. Please respond with the following information if you would like to continue with the Lead Time Update: The updated lead times you can meet based on parcel type: Large Parcel: Small Parcel: Have you confirmed that the new lead time is compatible with your carrier's collections? Is this a permanent change or a temporary change? If temporary please provide the time frame. Thank you, [INSERT ASSOCIATE OR AGENT NAME]",
