Template Use Case/Title,Applicable SOPs,Text,Last Updated
Update Tracking/Order Status - SP,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out to confirm the status of this PO. I can review this order and process with you today. I have updated any tracking as appropriate for your team. I have refreshed this PO to show the current status we have on file as well for you. Your team can also manage tracking directly in Partner Home. Please refer to the detailed process for updating the PO in Dropship Orders outlined in this Help Center article: https://partners.wayfair.com/help/2/article/1252 . When the carrier scans the package, the tracking should upload automatically, provided the required shipping process is followed. Orders are only considered overdue once they generate into the Overdue Order Alerts Page. Please be sure to update the tracking information in the overdue order section on the Wayfair Partner Home as soon as possible to avoid changes to your metrics. To clear an overdue order alert please follow these steps: Partner Home > Orders > Order Alerts, search for the PO and select &lsquo;Yes&rsquo; under &lsquo;Order Shipped?&rsquo; > Enter the Actual Ship Date and Tracking Number and select the blue &lsquo;Save Changes&rsquo; button at the top of the page. Please note: Picked Up (Awaiting Carrier Scan) statuses do not clear an overdue order alert - the PO must be inducted into the carriers network fully in order to clear an overdue order alert. If the PO has not shipped out please select &lsquo;No&rsquo; under &lsquo;Order Shipped?&rsquo; > Provide an update to if the item is in stock or not > Select a Delay Reason and Expected Ship Date then select the blue &lsquo;Save Changes&rsquo; button at the top of the page. If you have any further questions please refer to this Help Center article: https://partners.wayfair.com/help/2/article/585 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
green location NA Specific Update Tracking on WDN LTL Shipment,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hi [supplier name], Thank you for reaching out regarding the tracking for this PO. I apologize for any confusion this may have caused, and I'm happy to address this for you today! I show this PO was shipped within the Wayfair Network and is being delivered to a Wayfair facility. Because this is processing through the Wayfair Dedicated Network the tracking is showing in our internal system, and will update automatically. Wayfair Network carriers will check in within 2-3 business days of pick up. When freight is checked in it will backdate to the date of pick up to prevent any negative impact to your metrics. Please note that Wayfair Dedicated pick up carriers do not provide pro numbers. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Update Tracking/Order Status - Out of Network LTL,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hi [Supplier Name], Thank you for providing a copy of the signed BOL for this shipment. I have updated the tracking information. Please note your account is set to ship on Wayfair&rsquo;s account. Failure to ship as expected can result in lost items, and a poor customer experience. Please ensure moving forward that you are following the ship settings indicated on your account. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Update Sample (No Tracking),Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hi (Supplier Team), Thank you for reaching out about this PO. I'm sorry to hear this PO is not displaying the proper status in your Dropship Orders window. I have updated the status of this PO to correctly reflect as Picked Up (Awaiting Carrier Scan) and have refreshed this PO to update in the system. I now show the PO in Dropship Orders with an updated status. Please allow 24 hours for the system to refresh. Additionally, if this is still not reflected after one business day, please clear your cache and cookies, log out of the portal, log back in and try again. If you still cannot see the PO, please reopen this ticket. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
Remove Extra/Duplicate Tracking,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the tracking numbers. I can help resolve this today. I have updated the tracking information so that there is no confusion. In the future, please generate labels through Wayfair Dropship Orders or follow Wayfair guidelines when creating your own. Please reference the following Help Center article for further details on small parcel labels: https://partners.wayfair.com/help/2/article/1252 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Update to Other Status,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the status of this order. Please note there have been some recent changes in the Partner Home UI with regard to order statuses. The ""Picked Up (Awaiting Carrier Scan)"" indicates that the PO is currently awaiting induction to the carriers network. Please note that until a successful induction scan has passed on the order, this status, as well as any related overdue order alerts will persist - this is by design, as fulfillment completion is not indicated until the carrier confirms their possession of the item(s). The ""In Transit (Carrier Scan Received)"" status indicates the item has been shipped and successfully received and inducted by the carrier. This also is our indication that the vendor partner portions responsibility to the PO has been fulfilled and applicable payments will be processed according to your payment terms with Wayfair. Please note that we are unable to force through any further changes to the status in the partner portal, though a ""Delivered"" status is not required for invoicing to take place. Any applicable payments and deductions will be shown under the invoicing section of the portal. A response on those requests will route to the appropriate team to provide additional details. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Error Preventing Supplier from Clearing Alert,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out. I can resolve this for you today. I apologize for the error in the system that has disabled your ability to clear this alert. I have confirmed this PO as shipped under the tracking provided. This alert should now be cleared. If the alert reappears, please reopen this ticket. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Tracking on Overdue PO,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this tracking. We appreciate your consideration for our mutual customer. I can review this process with you today. When the carrier scans the package the tracking will upload automatically, as long as our shipping process was followed. Please find the correct shipping process outlined in this Help Center article - https://partners.wayfair.com/help/2/article/328 If the order becomes overdue, please be sure to update the tracking information in the overdue order section on the Wayfair Partner Home page. To clear an overdue order alert please follow these steps: Partner Home > Order Alerts, search for the PO and select &lsquo;Yes&rsquo; under &lsquo;Order Shipped?&rsquo; > Enter the Actual Ship Date and Tracking Number and select the blue &lsquo;Save Changes&rsquo; button at the top of the page. Please note: Picked Up (Awaiting Carrier Scan) statuses do not clear an overdue order alert - the PO must be inducted into the carriers network fully in order to clear an overdue order alert. If the PO has not shipped out please select &lsquo;No&rsquo; under &lsquo;Order Shipped?&rsquo; > Provide an update to if the item is in stock or not > Select a Delay Reason and Expected Ship Date then select the blue &lsquo;Save Changes&rsquo; button at the top of the page. If you have any further questions please refer to this Help Center article: https://partners.wayfair.com/help/2/article/1252 If you are experiencing errors preventing you from updating the alert, please provide a copy of the completed BOL or valid Small Parcel tracking. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Update Part Tracking Information,Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hello [Supplier Name], Thank you for reaching out regarding updating tracking for this replacement part. We appreciate your consideration for our mutual customer. I have updated the tracking information for this replacement part so that mutual customer is notified it is on the way. For future reference, your team can update the tracking information in the replacement parts section on the Wayfair Partner Home page. To clear a part alert please follow these steps: Partner Home > Overdue Replacement Parts Alerts, search for the PO, and select &lsquo;Yes&rsquo; under &lsquo;Order Shipped?&rsquo; > Enter the Actual Ship Date and Tracking Number and select the blue &lsquo;Save Changes&rsquo; button at the top of the page. Your team can also manage tracking directly in Partner Home via the Dropship Orders Tool. You can do this by Orders > Click Dropship Orders> Replacement Parts Tab > Enter the PO number > Open the PO Drawer by clicking the PO > select Manage Tracking > select Submit You will be able to use the same tracking number for multiple parts. If you have any further questions please refer to this Help Center article: https://partners.wayfair.com/help/2/article/1252 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
SU Claims PO Shipped (SU_Claims_Shipped),Update Tracking Number/Order Status SOP (DSC2S) - VCN,"Hi [SU Name]/Team, Thank you for reaching out with your PO status query. To mark this order as shipped, could you please attach a signed manifest or a working tracking number? Alternatively, you can add the tracking information through Customer Orders > Dropship Orders , following this guide - https://partners.wayfair.com/help/2/article/1252 This ticket will be kept open to ensure your query is resolved. I look forward to hearing back from you. Kind Regards, ZH 尊敬的 {SU name}/供应商团队： 感谢您就此订单状态问题与我们联系。 要将此订单标记为已发货，请附上有承运商签名的舱单 (manifest) 或有物流轨迹的追踪号码。 您也可以按照本指南通过订单管理添加追踪信息 - https://partners.wayfair.com/help/2/article/1257 . 此工单将保持开放状态，以确保您的问题得到解决。 期待您的回复。 顺颂商祺，",
