Template Use Case/Title,Applicable SOPs,English Text,Mandarin Text,Last Updated
green location NA Specific Ashley Reports an Item is Returned,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. We have proceeded with ordering a replacement for PO (enter PO # here). Please proceed with filling this new PO. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Ashley Reports Item Returned - Item Delivered,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. This PO shows as delivered. If the customer chooses to receive a replacement, a new PO will be sent to you. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Ashley Furniture Reports Incorrect Ship Method,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello Ashley Furniture Team, Thank you for bringing this to our attention. I have canceled this PO and sent a new PO, PO # (Enter New PO Here) to your (Enter Warehouse Location) warehouse. To prevent this from happening in the future I will be moving this request to our shipping solutions team to update the ship method on (include item number) from ground to freight. Please note this will change the ticket from AOPS- to CARTON-. Thank you,",,
turquoise location Applies Globally (Ashley is NA Specific) Supplier is Fill/Kill *Or Ashley Furniture,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this process with you today. Orders are sent for processing based on the active inventory we have at the time. Please be sure your inventory feed is updated to reflect accurate information so we may provide the best customer experience possible. Please note replacements can be sent regardless of inventory. I have canceled this order on your behalf and notified the customer of the completed cancellation request. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您就此订单的状态与我们联系。我们非常感谢您对我们共同客户的关注。今天我将与您一起重新梳理这一业务流程。 订单会根据下单时的库存情况进行处理。请确保您的库存表已更新，以便我们能够提供最佳的客户体验。请注意，无论库存状态如何，系统都可以发送补件订单。 我已经代表您取消了此订单，并通知了客户取消已完成。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Serta/Simmons Reports PO Undeliverable/RTS,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello [Supplier Name], Thank you for bringing this to our attention, and I am happy to help resolve this for you today. I have cancelled the impacted PO&rsquo;s as requested for you. Please refer to Dropship Orders for any updated PO statuses as needed. If this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
Supplier Reports Split Shipment,Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello [supplier name], We appreciate your consideration for our mutual customer. I am able to resolve the error for this PO today and can confirm it has been successfully replaced. A new PO will generate in your order queue as normal. The new PO is PO#. We ask that in the future Wayfair orders are shipped complete as a replacement will need to be issued for the unshipped items because our system is unable to support partial shipments and changes cannot be made to purchase orders once they have been marked as shipped. If you have further questions or need additional information, please review the following Help Center article: https://partners.wayfair.com/help/2/article/1440 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您能站在我们共同客户的角度考虑问题。今天我已经解决此订单的问题，并确认已成功重新下单。新的订单将自动生成在您的订单队列中。 新的订单编号为 PO#。 我们恳请您今后在 Wayfair 下单时务必一次性发货，因为漏发商品需要重新发货。我们的系统不支持部分发货，且一旦订单标记为已发货，便无法更改。 如果您有任何其他疑问或需要更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/1440 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
green location NA Specific Commercial Use Products - Not Listed,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Commercial Use Products - Platinum+ Fulfillment,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. It was placed by the high value business account manager contact who confirmed commercial use will not be covered under warranty. OR This is for a high value business customer and I have asked for our high value business team to inform the customer as well. (Option will change depending on whether or not Platinum+ Agent confirmed customer awareness prior to ticket closure) We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",,
green location NA Specific Fulfill Order - Non Platinum +,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [Supplier Name], Thank you for reaching out for clarity on this order. This item is correctly labeled as residential under the product information. This is for a high value business customer and I have asked for our high value business team to inform the customer as well. We do ask that you ship these. If you need a liability waiver from the customer please enter a Customer Clarification ticket to our customer outreach team who is able to reach out to the customer. We currently do not have a ticket transfer available to the customer outreach team but are working to get one. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. If you have any questions on this process, please review this help center article https://partners.wayfair.com/help/2/article/209 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]","尊敬的[supplier name]供应商团队，您好： 感谢您就此订单与我们联系。该商品已被正确标记为住宅类型。此订单面向一位高价值企业客户，我已经要求我们的高价值企业团队通知该客户。 我们要求您发货。如果您需要客户的免责声明，请提交客户澄清工单（Customer Clarification）至我们的客户服务团队，他们会联系客户。目前我们暂不支持工单转接至客户服务团队，但我们正在努力开通此功能。 您可以通过Partner Home>订单和采购订单管理（Order & PO Management）>所需的客户信息或订单说明（Customer information or order clarification needed） 左侧的""提交工单""来完成此操作。 如果您对此流程有任何疑问，请参阅此帮助中心文章： https://partners.wayfair.com/help/2/article/209 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。",
"green location NA Specific Pushback - B2B Fulfillment Dispute Should the supplier push back on process/policy after original response, please transfer them to SSD per the regular SSD transfer process.",Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customers. I can review PO X with you today. Please refer to Dropship Orders for PO details and status. Wayfair does not place restrictions on the quantity of orders. Please fulfill this PO as is. This is noted as not having a commercial warranty and any commercial use will not be covered by warranty. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您就此订单 (PO) 的状态与我们联系。非常感谢您对我们共同客户的支持。我今天可以和您一起查看 PO X。 有关该 PO 的详细信息和状态请查看自发货订单（Dropship Orders）页面。Wayfair 对订单数量没有限制。请按原订单要求正常履约。请注意，此 PO 不包含商业保修，任何商业用途均不在保修范围内。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Mis-Shipped Item Retrieval IF TRANSFERRING: Ensure the SSAT statement is removed if transferring to FINSAP.,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Note: The bolded section is only for if the supplier mentions trying to get paid for the mis-shipped item and the customer has called in confirming they received it. This does not apply to replacement part POs. Hello [Supplier Name], Thank you for reaching out regarding retrieving this shipped order. I'm happy to help address this today. We ask your team to always refer to Dropship Orders for the current PO status. We appreciate your consideration for our mutual customer in attempting to ship as quickly and accurately as possible, and understand some latency can occur between a status change and your warehouses being notified of the change. Unfortunately, Wayfair is unable to provide direct assistance with mis-shipped item retrieval. If our mutual customer reports receiving the order, our customer service specialists will work directly with them to help arrange for the item to be returned. I will be moving this ticket to the Finance Operations Team&rsquo;s queue to help address your concern. Please be on the lookout for their follow-up on this ticket within 72 hours. Please do not close this ticket until the issue is resolved with their team. For future dispute return requests, please submit a ticket via the following path: Submit a Ticket > Finance and Accounting > Get Help with Payments from Wayfair and Deduction Dispute or Invoice Not Paid Note: The Partner Home ticket identifier will change from AOPS- to FINSAP-. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您就追回该已发货订单与我们联系。今天我很乐意协助您处理这一问题。 我们建议您的团队始终参考自发货订单（Dropship Orders）页面以获取最新的订单状态。非常感谢您为了我们共同的客户，在努力确保发货速度与准确性上所做的贡献，我们也理解状态变更到您的仓库收到通知之间可能会存在一些延迟。 很遗憾，Wayfair 无法直接协助您找回错发的商品。如果我们的共同客户报告已收到订单，我们的客户服务专员将直接与他们联系，协助安排退货事宜。 我会将此工单移至财务运营团队的队列，以便他们更好地处理您的问题。请留意他们72小时内对此工单的后续回复。在问题得到解决之前，请不要关闭此工单。 如需提交退款争议申请，请通过以下路径提交工单：Submit a Ticket（提交工单） > Finance and Accounting（财务与会计） > Get Help with Payments from Wayfair and Deduction Dispute or Invoice Not Paid（获取 Wayfair 付款帮助、扣款争议或发票未付）。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 FINSAP-。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Update Customer Review,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out regarding this review. Unfortunately, the Click to Ship team is unable to remove reviews from the site. We strive to be as transparent with our customers as possible, and we encourage them to leave their feedback with any and all purchases they make from Wayfair. In order to ensure our customers are making the best, most informed purchases for themselves, it is Wayfair&rsquo;s policy that reviews never be altered or deleted. However, there is a review process for egregiously incorrect reviews (ie, the wrong product is being reviewed), and if you feel that this is the case, please reach out to the Supplier Service Desk at supplierservicedesk@wayfair.com . We also recommend focusing on aspects such as merchandising and fulfillment that will lead to a positive customer experience, and the good reviews that will result will certainly outweigh one less positive one! Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您就此评论与我们联系。很遗憾，Click to Ship 团队无法从网站上删除评论。我们致力于尽可能地对客户保持透明，并鼓励客户在 Wayfair 的所有购物后留下反馈。 为了确保我们的客户能够做出最明智的选择，Wayfair 的政策是绝不修改或删除评论。但是，对于严重错误的评论（例��，��论了错误的商品），我们会启动审核流程。如果您认为您的评论属于这种情况，请联系供应商服务台：supplierservicedesk@wayfair.com。 我们也建议您关注产品展示和履约等能够提升客户体验的方面，由此带来的好评绝对会远远盖过这一个差评！ 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
green location NA Specific Wrong Carrier Used,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [supplier name], Thank you for reaching out. I can resolve this for you today. In review of this order, the tracking used does not match the carrier assigned to this PO which is why the system did not detect the tracking and why your team could not update the tracking. An exception has been made and I have confirmed this PO as shipped under the tracking provided. Please access Dropship Orders to generate Wayfair labels or follow your assigned carrier going forward. Please also reference the following Help Center article for additional information about the Dropship Orders tool: https://partners.wayfair.com/help/2/article/2949 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您的联系。今天我可以帮您解决这个问题。 经核实，此订单使用的追踪信息与分配给此订单的物流服务商不符，因此系统未能检测到该追踪信息，您的团队也无法更新追踪信息。鉴于此次特殊情况，我们已为您破例处理，并确认此订单已根据提供的追踪信息发货。 请访问自发货订单（Dropship Orders）界面生成 Wayfair 标签，或继续使用指定的物流服务商。有关自发货订单工具的更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/2949 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Supplier Requests to Combine POs,Problem with an Order (PWAO) SOP (DSC2S) NA > General Order Inquiries,"Hello [Supplier Name], Thank you for reaching out to request assistance with the shipping of these POs. I can help review this process with you today. Separate POs cannot be combined and must be treated individually in our system. As an exception, I have manually updated the tracking on these POs for you. Please process each order in Dropship Orders with their own label information. Please note if separate POs are combined under one tracking in the future, it will be counted as a mis-shipment and Wayfair will not assist in retrieving the product. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",尊敬的[supplier name]供应商团队，您好： 感谢您联系我们寻求关于这些订单（PO）发货的协助。今天我可以为您讲解并核对该流程。 不同的订单不能合并，必须在我们的系统中单独处理。作为例外情况，我已经手动更新了这些订单的运单号。 请在自发货订单（Dropship Orders）中为每个订单使用单独的标签信息。请注意，如果将来将不同的订单合并到一个运单号下，这将被视为误装货物，且 Wayfair 将不会协助追回相关商品。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Part#/Listing/Qty Incorrect,Problem with an Order (PWAO) SOP (DSC2S) NA > PO Data Issues,"Hello [supplier name], Thank you for letting us know about the issue with the order quantities/part number. I can help resolve this. Because we are unable to make any changes to a PO once it has been submitted to your team, we have canceled this PO. For future instances of PO Data being incorrect or needing updates, please enter a ticket to Wayfair&rsquo;s Merchandising team. For more information on where to enter this ticket in PartnerHome, please review the below Help Center Article: https://partners.wayfair.com/help/2/article/209 To ensure that your items listing is correct, I will be transferring this ticket to our Merchandising team to help correct this issue. Note: The Partner Home ticket identifier will change from AOPS- to ENRICH-. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您告知我们订单数量/产品编码的问题。我可以协助您解决此问题。由于订单一旦提交给您的团队，我们就无法对其进行任何更改，因此我们已取消此订单。 如果您以后遇到订单数据错误或需要更新的情况，请向 Wayfair 的产品团队提交工单。有关如何在 PartnerHome 中提交工单的更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/2146 为确保您的产品链接信息准确无误，我会将此工单转交给我们的产品团队，以协助您解决此问题。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 ENRICH-。 谢谢， [Agent Name],
green location NA Specific Original B2B Order,Problem with an Order (PWAO) SOP (DSC2S) NA > PO Data Issues,"Hello [supplier name], Thank you for letting us know about the issue with the order quantities/part number. I can help resolve this. Because we are unable to make any changes to a PO once it has been submitted to your team, we have canceled this PO. For future instances of PO Data being incorrect or needing updates, please enter a ticket to Wayfair&rsquo;s Merchandising team. For more information on where to enter this ticket in PartnerHome, please review the below Help Center Article: https://partners.wayfair.com/help/2/article/209 To ensure that your items listing is correct, I will be transferring this ticket to our Merchandising team to help correct this issue. Note: The Partner Home ticket identifier will change from AOPS- to ENRICH-. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您告知我们订单数量/产品编码的问题。我可以协助您解决此问题。由于订单一旦提交给您的团队，我们就无法对其进行任何更改，因此我们已取消此订单。 如果您以后遇到订单数据错误或需要更新的情况，请向 Wayfair 的产品团队提交工单。有关如何在 PartnerHome 中提交工单的更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/2146 为确保您的产品链接信息准确无误，我会将此工单转交给我们的产品团队，以协助您解决此问题。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 ENRICH-。 谢谢， [Agent Name],
MOQ - Can Fill As Parts,Problem with an Order (PWAO) SOP (DSC2S) NA > PO Data Issues,"Hello [Supplier Name], Thank you for letting us know about the quantity issue on this order. I can review this order with you today. I have canceled the replacement PO, and resubmitted this as a replacement part request, and you are able to proceed fulfilling that as needed. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您告知我们此订单的数量问题。我今天可以和您一起审核此订单。 我已经取消了补发订单，并重新提交了补发配件申请，您可以根据需要进行后续履约。 我们希望确保您的所有问题都能得到解决，如果此问题仍然存在，请随时在此工单中联系我们，我将很乐意为您提供进一步的帮助。如果目前您的问题已得到解决，祝您一切顺利！ 谢谢，顺颂商祺！ [Agent Name] 请分享您的反馈，帮助我们改进服务。稍后您将收到一封包含调查问卷的电子邮件，或者您也可以在Partner Home上对任何已关闭的工单提供反馈。我们非常重视与您的合作。,
Original Normal Order,Problem with an Order (PWAO) SOP (DSC2S) NA > PO Data Issues,"Hello [supplier name], Thank you for letting us know about the issue with the order quantities/part number. I can help resolve this. Because we are unable to make any changes to a PO once it has been submitted to your team, we have canceled this PO. For future instances of PO Data being incorrect or needing updates, please enter a ticket to Wayfair&rsquo;s Merchandising team. For more information on where to enter this ticket in PartnerHome, please review the below Help Center Article: https://partners.wayfair.com/help/2/article/209 To ensure that your items listing is correct, I will be transferring this ticket to our Merchandising team to help correct this issue. Note: The Partner Home ticket identifier will change from AOPS- to ENRICH-. Thank you,",尊敬的[supplier name]供应商团队，您好： 感谢您告知我们订单数量/产品编码的问题。我可以协助您解决此问题。由于订单一旦提交给您的团队，我们就无法对其进行任何更改，因此我们已取消此订单。 如果您以后遇到订单数据错误或需要更新的情况，请向 Wayfair 的产品团队提交工单。有关如何在 PartnerHome 中提交工单的更多信息，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/2146 为确保您的产品链接信息准确无误，我会将此工单转交给我们的产品团队，以协助您解决此问题。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 ENRICH-。 谢谢，顺颂商祺！ [Agent Name],
Replacement PO MOQ Clarification,Problem with an Order (PWAO) SOP (DSC2S) NA > PO Data Issues,"Hello [Supplier Name], Thank you for letting us know about the quantity issue on this order. I can review this order with you today. Because this is a replacement for a previous order, we want to ensure that our mutual customers needs are met. I will be transferring this request to Wayfair&rsquo;s outreach team who will be able to contact the customer and provide them alternative resolutions and then process the cancellation. As for this PO, please submit an order delay for the PO by 1 week to allow our outreach team time to work with the customer. For future _________ requests, please submit a &lsquo;Customer Information or order clarification needed&rsquo; ticket, so our outreach team can contact our mutual customer. You can do this by selecting ""submit a ticket"" on the left hand side of Partner Home > Order & PO Management > Customer information or order clarification needed. Note: The Partner Home ticket identifier will change from AOPS- to CMT-. Thank you,","尊敬的[supplier name]供应商团队，您好： 感谢您告知我们此订单的数量问题。今天我可以为您核对该订单的情况。由于这是之前订单的补发订单，我们希望确保满足我们共同客户的需求。 我会将此请求转交给 Wayfair 的外联团队，他们将联系客户并提供其他解决方案，然后处理取消事宜。 关于此订单，请提交订单延迟一周的申请，以便我们的客户关系团队有时间与客户沟通。 对于今后的_________请求，请提交所需的客户信息或订单说明（Customer Information or order clarification needed）工单，以便我们的外联团队联系我们的共同客户。 您可以以下步骤操作：在 Partner Home 左侧菜单栏选择 提交工单（Submit a ticket）> 订单和采购订单管理（Order & PO Management） > 所需的客户信息或订单说明（Customer information or order clarification needed）。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 CMT-。 谢谢！"" 谢谢，顺颂商祺！ [Agent Name]",
LP Return WSC <$/&euro;/&pound;500 and SP Return WSC <$/&euro;/&pound;50 (LP Return WSC < $500 & SP Return WSC < $50),Problem with an Order (PWAO) SOP (DSC2S) NA > Returns,"Hello [supplier name], Thank you for reaching out with this information. Please dispose/donate as you see fit. We understand your frustration about this return, and our finance team will be able to address it for you. You can dispute all Return credits on the Payment History page on Partner Home by selecting Submit a ticket > Finance & Accounting > Get Help with Payments From Wayfair > Deduction Dispute If you have any questions on this process, please review this help center article: https://partners.wayfair.com/help/2/article/2175 https://partners.wayfair.com/help/2/article/1935 I will be moving this ticket to the Finance Operations Team&rsquo;s queue to help address your request. Please be on the lookout for their follow-up on this ticket within 72 hours. Please do not close this ticket until the issue is resolved with their team. Note: The Partner Home ticket identifier will change from AOPS- to FINSAP-. Thank you,","尊敬的[supplier name]供应商团队，您好： 感谢您与我们联系并提供此信息。对于这批货物，请由您自行决定进行销毁或捐赠。 我们理解您对此次退货的不满，我们的财务团队将为您处理此事。 您可以在Partner Home的付款历史页面（Payment History），通过选择提交工单(Submit a ticket)>财务与会计(Finance & Accounting)>获取 Wayfair 付款帮助(Get Help with Payments From Wayfair)>扣款异议（Deduction Dispute)来对所有退货款项提出异议。 如果您对此流程有任何疑问，请参阅以下帮助中心文章： https://partners.wayfair.com/help/2/article/2175 https://partners.wayfair.com/help/2/article/1935 我会将此工单移至财务运营团队的队列，以便他们尽快处理您的请求。 请留意他们是否会在 72 小时内跟进此工单。在他们的团队解决问题之前，请不要关闭此工单。 注意：该 Partner Home 工单的前缀将从AOPS- 更改为 FINSAP-。 谢谢！""",
