Template Use Case/Title,Applicable SOPs,Text,Last Updated
green location NA Specific General Label Print Error Resolved medium info This template is applicable to the following SOPs: The email is missing from the shipping address Update CT address,[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hi [Supplier Name], Thank you for reaching out about this label printing query. I am happy to resolve this today. Please find the document attached to this ticket. This document had failed due to XXX. If you need to edit the label count, follow the process outlined here: https://partners.wayfair.com/help/2/article/2463 . Please ship this PO in accordance with its must-ship-by date. Should this PO be late for shipment please delay it on Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. This ticket is now marked as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent name]",
green location NA Specific Missing Information on Packing Slip,Template is not currently referenced within any SOPs,"Hi (supplier name) Thank you for reaching out regarding the shipping documents associated with PO XX. I appreciate your consideration for our mutual customer. I am happy to clarify. I would like to inform you that we recently released a software update to remove the customer's information from the packing slip. To remain compliant with privacy laws and the data minimization principle, we have removed this personal information from the packing slip because it is not required or necessary. Non-compliance with this principle becomes a risk for Wayfair each time a packing slip is left in the box e.g. during grading of a returned item and the packing slip displaying a previous customer's information is inadvertently shared with a new customer purchasing the item. Please note that packing slips are optional to include in shipments. I hope this helps address your questions, though you are welcome to reach back out should you need further assistance on this matter. If I've addressed all your needs for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Best,",
green location NA Specific Replacement Part Weight,Template is not currently referenced within any SOPs,"Hi {SU Name}/Team, Thank you for reaching out about this label printing inquiry for a replacement part. Please find the document attached to this ticket. We had to add an estimated weight to the replacement part to print the label. If the weight is incorrect, please change it in Partner Home and reprint the label. To do so, navigate to the Customer Orders > Dropship Orders tab. Select the PO and use the 'Print Documents' function. You can find instructions for processing replacement part orders here: https://partners.wayfair.com/help/2/article/2883 Please ship this replacement part by its must-ship-by date. Should this be late for shipment, please delay it on Partner Home. Instructions are included here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent name]",
green location NA Specific Incorrect Label Count,Template is not currently referenced within any SOPs,"Hi [Supplier Team] Thank you for reaching out about this label query. Please find the label document attached to this ticket. Please be informed that you can change the number of boxes/labels at any time in the Dropship Orders. To do so you can follow the steps below: Log into Partner Home. Navigate to Customer Orders > Dropship Orders. Enter the PO Number in the search field and click the Search button. Click on the PO Number. Select Print Documents which will open a new window. Select Edit Shipping Details. Change the carton count and select Done Editing. Generate the shipping documents to save updates. If the carton count for this item needs to be changed for future orders, please update the carton count via Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/2949 . Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent name]",
green location NA Specific Supplier&rsquo;s pop up blockers are enabled,[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hi [Supplier Name], Thank you for reaching out about this label printing query. I am happy to resolve this today. Please find the document attached to this ticket. This document had failed due to pop up blockers not being enabled in your browser. If you need to edit the label count, follow the process outlined here: https://partners.wayfair.com/help/2/article/2463 . Please ship this PO in accordance with its must-ship-by date. Should this PO be late for shipment please delay it on Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. This ticket is now marked as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent name]",
green location NA Specific Weight Error,[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hi [Supplier Name], Thank you for reaching out about this label printing query. I am happy to resolve this today. Please find the document attached to this ticket. This document had failed due to the weight exceeding Small Parcel carrier thresholds. I have updated this PO to ship Large Parcel to correct this error. If you need to edit the label count, follow the process outlined here: https://partners.wayfair.com/help/2/article/2463 . Please ship this PO in accordance with its must-ship-by date. Should this PO be late for shipment please delay it on Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. This ticket is now marked as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
green location NA Specific Partner Home Configuration Error,[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hi [Supplier Name], Thank you for reaching out about this label printing query. I am happy to resolve this today. Please find the document attached to this ticket. This document had failed due to the shipping label settings being disabled. These settings have been enabled, which will allow for labels to be generated. You are able to correct this directly by navigating to Account Management> Supplier Account Details > Documents, Terms, and Configuration > Extranet Configuration > select the box for Enable Small Parcel Shipping Labels. There is an option for Purchase Orders and Parts which can be toggled separately. Please ship this PO in accordance with its must-ship-by date. Should this PO be late for shipment please delay it on Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. This ticket is now marked as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
green location NA Specific Facet-Valid (or Run Time) Errors,[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hi [Supplier Name], Thank you for reaching out about this label printing query. I am happy to resolve this today. Please find the document attached to this ticket. This document had failed due a run time error. Please ensure to register this PO individually to avoid the timeout error that disabled the label printing. Please ship this PO in accordance with its must-ship-by date. Should this PO be late for shipment please delay it on Partner Home. Please find the instructions on how to do so here: https://partners.wayfair.com/help/2/article/1440 . Thanks again for reaching out. This ticket is now marked as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, [Agent Name]",
green location NA Specific Refresh & Print,Template is not currently referenced within any SOPs,"Hello [supplier name], Thank you for reaching out regarding this label. I understand the frustration this may have caused. The documents are now printing and registering correctly and are available on Partner Home. For your convenience, I have attached the shipping documents to this ticket. Please note that you must be logged into Partner Home in order to view and download the label I have attached via this ticket. If you are still unable to download the labels, please clear your downloads folder, clear your web browser's cache and cookies, and please check to make sure your pop-up blockers are disabled. Please also reference the following Help Center article for additional information about the Dropship Orders tool: https://partners.wayfair.com/help/2/article/2949 We want to make sure all your concerns are heard, so please enter a new ticket for any new PO issues so we can ensure it is appropriately addressed. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
green location NA Specific Shipping on Own Labels (FedEx),[ Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN NA > Common Label Print Errors,"Hello [supplier name], Thank you for reaching out about the label issue. I completely understand how frustrating this can be, and I&rsquo;m here to help make this process smoother for you. While we work on fixing this error for future orders, I want to guide you through an alternative way to resolve this. To print a label using FedEx.com , please follow these steps: Log in to your FedEx account, or create one if you don&rsquo;t already have an account. In the reference field, use the PO#. Select ""bill 3rd party"" to ship on Wayfair&rsquo;s account. Use this billing address: 4 Copley Pl Fl 7 Boston, MA 02116 Enter the account number: 252225761 We weren&rsquo;t able to resolve the issue directly, but we&rsquo;ve put together a helpful guide for you here: How to Ship with Fedex I want to make sure all your concerns are addressed, so if this issue persists or if you need any further assistance, please don&rsquo;t hesitate to reach back out. Otherwise, if everything&rsquo;s good for now, I hope you have a wonderful day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
