Template Use Case/Title,Applicable SOPs,Text,Last Updated
green location NA Specific Carrier Change LTL,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for your request. I can guide you through the right process for this and get this concern to the right team. LTL Carrier Change requests are not handled through this ticket type but instead, by the First Mile Freight team. I will be moving this ticket to the First Mile Freight team&rsquo;s queue to help address your request. Please be on the lookout for their follow-up both on this ticket and via email within a few hours. Please do not close this ticket until the issue is resolved with their team. For future Large Parcel Carrier Change requests, please enter a ticket to freight following the below process. Submit a Ticket > Dropship Order Fulfillment > Carrier Pickup Assistance/Carrier Inquiries > Carrier Did not Collect All Purchase Orders Note: The Partner Home ticket identifier will change from AOPS- to FMOP-. Kind regards, YOUR_NAME",
green location NA Specific Carrier Pickup Delay LTL,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for your request. I can guide you through the right process for this and get this concern to the right team. Missed Pickup requests are not handled through this ticket type but instead, by the First Mile Freight team. I will be moving this ticket to the First Mile Freight team&rsquo;s queue to help address your request. Please be on the lookout for their follow-up both on this ticket and via email within a few hours. Please do not close this ticket until the issue is resolved with their team. For future Missed Pickup requests, please enter a ticket to freight following the below process. Submit a Ticket > Order & PO Management > Carrier did not Come on Time for Pickup / Missed Pickup. Note: The Partner Home ticket identifier will change from AOPS- to FMOP-. Kind regards, YOUR_NAME",
green location NA Specific Carrier Pickup Delay SP,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello SUPPLIER_NAME, Thank you for reaching out regarding this pickup request. We apologize for the frustration and are able to provide support with this issue. For assistance scheduling a FedEx pickup, please reach out to FedEx directly by calling 1-800-463-3399 and providing your shipper account number. If you do not have a shipper account set up, the link to the Wayfair Help Center below will guide you through the steps. You may also reach out to your local FedEx representative for assistance with pickup delays. Once the pickup is scheduled it will appear on Partner Home and you will not need to send Wayfair a shipping confirmation. If you need an address changed for your pickup please use the help center article below: https://partners.wayfair.com/help/2/article/1432 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
green location NA Specific Changing FedEx Ship Speed,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN Changing A Ship Speed,"Hello [supplier name], Thank you for reaching out regarding this order assigned to FedEx Express and sharing that you are unable to use this ship service. I understand the confusion this may have caused. I was able to resolve this today. I have updated this PO to now ship with FedEx Ground. Please reregister this PO to generate a new label with the right information. Please note that customers pay extra for Express shipping and by downgrading this PO to Ground, the order will most likely be delivered later than the date the customer paid to receive it. We ask that you reach out to your local FedEx representative to resolve any issues with Express shipping so that the assigned ship speed can be used for future orders. If you have limitations that will prevent you from shipping future orders with FedEx at faster ship speeds, please respond to this ticket with a list of your warehouses which cannot ship with Express and our team is happy to add the correct restrictions preventing you from receiving Express-assigned orders going forward. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
green location NA Specific Changing a Ship Speed,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN Changing A Ship Speed Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN Common Label Print Errors,"Hello [supplier name], Thank you for reaching out regarding this incorrect ship speed. I understand the confusion this may have caused. I was able to resolve this today. I have updated this PO to reflect the correct speed. Please reregister this PO to generate a new label with the right information. This is not a permanent change, and for subsequent POs to reflect your desired ship speed, please respond to this ticket with a list of your warehouses which cannot ship beyond Ground or Home Delivery Speed, and our team is happy to add the correct restrictions preventing you from receiving Express-assigned orders going forward. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
LP to SP Denied,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the ship method for this PO. I apologize for any inconvenience this may cause you. I can review this process with you today. Due to the size of this item, we are unable to change the ship method from Large Parcel to a Small Parcel carrier. Please move forward in processing this order as it is currently. If the carrier needs to be changed for this item for future orders, please be sure to provide the updated dimensions via the Partner Home Portal. Instructions on how to do so can be found here: https://partners.wayfair.com/help/2/article/3377 . Please let me know if you have any additional questions regarding this process. We want to make sure all your concerns are heard, so please enter a new ticket for any new PO issues so we can ensure it is appropriately addressed. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
Deny LP to SP (Fragile),Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the ship method for this PO. I apologize for any inconvenience this may cause you. I can review this process with you today. Due to the fragile nature of the PO being shipped, we must deny this ship change request. Please proceed with shipping this PO LTL. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you, YOUR_NAME",
LP to SP,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the ship method for this PO. I was able to resolve this today. The ship method has been changed to Small Parcel shipment. This order will need to be re-registered before the carrier is notified for pickup. [ OPTIONAL TEXT - DELETE IF NOT RELEVANT TO SU REQUEST: If you need to edit the label count, follow the process outlined here: https://partners.wayfair.com/help/2/article/2463 . For future instances, please note that carrier selection depends on item dimensions. Please ensure the item dimensions are correct in Partner Home. You may alternatively enter a Shipping Dimensions Update ticket to request a shipping dimension update. You will be asked for specific item-level information including part number and manufacturer part number. Instructions on how to do so can be found here: https://partners.wayfair.com/help/2/article/3377 . This order should be shipped directly to the customer. If you are not using our shipping label, please ensure your label references the customer&rsquo;s address: (Customer address here) Please ensure the overall item dimensions are up to date under the products section of the portal. Additionally, for future requests, please include the following information: Carton Dimensions (H x W x D): Carton Weight: Carton Count: Other Criteria (Fragile /Ships on a pallet) : We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
green location NA Specific Replacement Parts,Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the ship method for this PO. I apologize for any inconvenience this may cause you. I can review this process with you today. I have updated the ship method on this replacement part from XXX to XXX. Please proceed with registering this order to generate your shipping documents. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind regards, YOUR_NAME",
magenta location EU Specific RPs (Include education) (Change_Carrier_RPs),Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out regarding this change ship method request. The carrier has been changed to (CARRIER NAME). Please find the label attached for this order. Please know that you can change the carrier yourself for any future replacement part orders. Navigate to the Customer Orders > Dropship Orders > Replacement Parts tab. Select the PO and Print Documents. You will have the option to change the delivery method and follow the usual process for generating the shipping documents. You can find more information on processing your replacement parts orders here: https://partners.wayfair.com/help/2/article/2883 Please ship this PO as per its must-ship-by date. If you cannot make the must-ship-by date, then please delay the order via Partner Home. Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
