Template Use Case/Title,Applicable SOPs,Text,Last Updated
turquoise location Applies Globally (Ashley is NA Specific) Supplier is Fill/Kill *Or Ashley Furniture,Product Out of Stock SOP (DSC2S) - VCN Problem with an Order (PWAO) SOP (DSC2S) NA > Specialty Supplier Exceptions,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this process with you today. Orders are sent for processing based on the active inventory we have at the time. Please be sure your inventory feed is updated to reflect accurate information so we may provide the best customer experience possible. Please note replacements can be sent regardless of inventory. I have canceled this order on your behalf and notified the customer of the completed cancellation request. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Order Delay (SU is Not Fill/Kill),,"Hi {SU name}/Team, Thank you for reaching out. I understand your confusion. I'm happy to clarify. Please note, tickets do not need to be submitted when you are out of stock in an item on an order as it is not our policy to cancel orders due to low stock. If you cannot ship this order by the current must ship by date please delay it in Customer Orders > Dropship Orders. The order was sent to you as your inventory feed showed availability at the time the order was placed. Please make sure that your inventory feed is regular and correct, to prevent future negative customer experiences. Our Partner Home Help Center offers instructions on how to delay an order, please see this article: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Cancel Discontinued Item,Product Out of Stock SOP (DSC2S) - VCN,"**Please cancel the item for supplier prior to responding Hello [supplier name], Thank you for reaching out regarding the status of this PO. I appreciate your consideration for our mutual customer. I have processed the cancellation on this PO. For reference, this order was processed because your inventory feed showed availability at the time of purchase. I recommend updating your inventory feed to prevent additional orders from being submitted so we may provide the best customer experience possible. In the future, you can also resolve this issue by marking the item as discontinued via Partner Home. Instructions are included here: https://partners.wayfair.com/help/2/article/1378 . Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Refund Discontinued Item,Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this order with you today. PO (PO#) was marked as having shipped under tracking (Tracking#). I have noted this PO did not ship and issued a refund to our mutual customer. Moving forward, please ensure your team is not marking a PO as shipped or submitting an ASN prior to a PO shipping as this will cancel any outstanding pickups and prevent you from submitting an order delay if there is an issue with stock. Additionally, we have a system for you to be able to notify the customer automatically when at item is discontinued. In the future, you can locate the order in question on Partner Home under Dropship Orders, and please select Submit Order Delay >> Out of Stock >> Item is Discontinued. This will cancel the item. Please ensure you update the inventory feed to reflect this product option as discontinued and work with your inventory contact for further questions on this process. We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Substitution Request,,"Hello [supplier name], Thank you for reaching out to find an alternate resolution for our mutual customer. I can review this process with you today. I'm afraid that at this time Wayfair is unable to substitute items. Depending on your stock situation, please take one of the following actions: &bull; If you cannot ship this replacement PO by the stated must-ship-by date, please submit a delay in Dropship Orders. &bull; If this item is unavailable, please delay the PO as Out of Stock, selecting Item Discontinued as the reason. This will cancel the order. If you have further questions or need additional information regarding order delays please review the following Help Center article: https://partners.wayfair.com/help/2/article/1440 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Backorder Unavailable - PO Marked Shipped,Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this order with you today. PO (PO#) was marked as having shipped under tracking (Tracking#). I have noted this PO did not ship and ordered a replacement. The new PO is (PO#). Moving forward, please ensure your team is not marking a PO as shipped or submitting an ASN prior to a PO shipping as this will cancel any outstanding pickups and prevent you from submitting an order delay if there is an issue with stock. For instruction on how to delay a PO or update your inventory feed, please refer to the following Help Center Articles: https://partners.wayfair.com/help/2/article/1440 https://partners.wayfair.com/help/2/article/1378 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Delay Date Restrictions,Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding the system's order delay restrictions. I understand the confusion this may have caused. Please note that for out of stock products there is a delay date restrictions of 6 months from the order date. If you require a longer delay timeline, please discontinue the item in order to cancel this PO and notify our mutual customer. Depending on your needs, we do have some helpful guidelines to delaying orders based on the impact to your order. You can review our Guide to Order Delays in the following Help Center resource: https://partners.wayfair.com/help/2/article/1440 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
OOS Replacement Unit Inquiry,,"Hello [supplier name], Thank you for reaching out regarding the status of this order. We understand your confusion and can provide additional information. The PO you have provided was issued as a replacement for PO XXXXX. Though our system will not allow a new order to be placed for an out of stock item, it will allow a replacement PO to be ordered off of an existing PO unless the item has been marked as discontinued. Depending on your stock situation, please action as follows: &bull; If you cannot ship this replacement PO by the stated must-ship-by date, then please delay the order in Customer Orders > Dropship Orders &bull; If this item is no longer available, then please mark the PO as out of stock and select ""item discontinued"". This will cancel the order. Additional information on managing order delays can be found here: https://partners.wayfair.com/help/2/article/1440 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Discontinued Item: Shipment Clarification,Product Out of Stock SOP (DSC2S) - VCN,"Hello [supplier name], Thank you for reaching out regarding this PO&rsquo;s status. We appreciate your consideration for our mutual customer. I can review this order with you today. PO (PO#) was marked as having shipped under tracking (Tracking#), however I do not see any movement yet reflected on this item. If the shipment is still on your dock, please respond to this ticket so we can issue a refund to our mutual customer for the discontinued item. Once a PO is marked as shipped in the system, we can not change this status back to waiting. If the PO has already been successfully shipped before receiving our response, there is no need to take any further action, and you may disregard this message. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Thank you,",
Replacement Part Cannot Delay (RP_Cannot_Delay),Product Out of Stock SOP (DSC2S) - VCN,"Hi {SU name}/Team, Thank you for reaching out about this replacement part. I'm happy to clarify the process.The order delay process depends on whether or not the part can be shipped within our backorder SLA. Our current SLAs can be found on this Help Center article: https://partners.wayfair.com/help/2/article/207 If the replacement part can be shipped within our backorder SLA: You must delay the replacement part as ""Part is out of stock"". The date picker will allow you to select any date within our backorder SLA. If replacement parts cannot be shipped within our SLAs, you must complete one of the following two actions: Backorder the replacement part is ""discontinued"". This will cancel the replacement part & wayfair will offer the customer an alternate resolution. However, the item must be removed from our website before this option is available. If the item is not discontinued, but a replacement part cannot be shipped within SLA, you must backorder the replacement part as ""whole unit needed"". This will cancel the replacement part & order a replacement unit for the customer. Our Partner Home Help Center offers further information on replacement parts and the service levels, please see this article: https://partners.wayfair.com/help/2/article/2883 Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards",
Order Delayed - Tech (Order_Delayed_Tech),Product Out of Stock SOP (DSC2S) - VCN,"Hi {SU name}/Team, Thank you for reaching out regarding this delay. I have {delayed this order until DATE/marked this as discontinued on our system}. Due to an internal issue, the PO showed the incorrect status in Partner Home, preventing you from delaying it. You can find helpful instructions for delaying an order here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Order Delayed - SU Education (Order_Delayed_SU_Education),Product Out of Stock SOP (DSC2S) - VCN,"Hi {SU name}/Team, Thank you for reaching out regarding this delay. I have {delayed this order until DATE/marked this as discontinued on our system}. The PO showed the incorrect status in Partner Home, preventing you from delaying it. To prevent this issue in the future, please ensure you are only (printing the labels/providing ASNs} once the order is ready to ship. You can find helpful instructions for delaying an order here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Order Showing In Transit (Delay_Order_In_Transit),Product Out of Stock SOP (DSC2S) - VCN,"Hi {SU name}/Team, Thank you for reaching out regarding this delay. This order shows as shipped with scans on the tracking. Please let us know if this information is incorrect, and we can investigate further. You can find helpful instructions for delaying an order here: https://partners.wayfair.com/help/2/article/1440 Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Supplier Shipping and Fulfillment Policy Education,Problem with an Order (PWAO) SOP (DSC2S) Supplier Self Service Updates,"Hi [Supplier Team] I&rsquo;m happy to review more information on our updated shipping and fulfillment policy. Beginning December 15th, 2025 a new compliance policy went into effect regarding shipping orders from the assigned warehouse the Wayfair system designates. Orders are routed based on inventory availability at the time the order is placed. To help support maintaining your success while minimizing financial impacts, please keep in mind the following: To ensure orders are routed to the correct warehouse: Keep warehouse hours, holidays, and contact info updated in Partner Home. Report accurate inventory at all warehouses. Warehouse assignments are based on supplier&rsquo;s reported inventory and the customer&rsquo;s delivery address. Regularly audit warehouse inventory accuracy and fulfillment reliability. Suppliers will face credit deductions for ship costs incurred when shipping from a warehouse other than the one assigned by Wayfair (including international shipments) that results in higher costs. If the risk of these deductions is not acceptable, please be aware the following options we are able to support at this time: Submit an order delay for the PO until you are able to ship it from the system-assigned warehouse. You can read more information about submitting an order delay here: https://partners.wayfair.com/help/2/article/1440 Select a new warehouse that has inventory available to fulfill this order; please note, this option will result in the aforementioned credit deductions. Please see the following help center resource for more information and the complete updated policy: https://partners.wayfair.com/help/2/article/3348 We want to make sure all your concerns are heard, so if this issue persists, please feel free to reach back out in this thread, and I will be happy to further assist. Otherwise, if I've resolved your concerns for the time being, I hope you have a great day! Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership.",
