Template Use Case/Title,Applicable SOPs,Text,Last Updated
SUs confused about XDP/WDN labels (XDP/WDN_Labels),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out about your labels. We are happy to help as it can be a confusing process. It is normal to receive labels for different carriers when printing labels for Freight Network orders. The reason is that two carriers are needed for freight network shipments. The 'first-mile' carrier collects the orders from your warehouse and brings them to our Wayfair warehouse. The 'second-mile' carrier delivers the orders to our customers. We use a variety of carriers for the second mile, depending on customer location. Thanks again for reaching out. This ticket is now marked as complete. If you do need further support with this issue, please add a comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Postcode Query (Postcode_Query),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {NAME}/Team, Thank you for your query on the delivery of this order due to the postcode. As you are shipping on a Wayfair account, please print the label and ship this order as usual. If you need to edit the label count, follow the process outlined, here: https://partners.wayfair.com/help/2/article/2463 . Please ship this PO by its must-ship-by date. If this is late for shipment, please delay it on Partner Home. Instructions are here: https://partners.wayfair.com/help/2/article/1440 . If the carrier fails to arrive, please delay the order(s) with Carrier Pickup Delay. Our logistics team will investigate and schedule a new collection with the carrier. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Registering a Pallet (FN_Register_Pallet),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out with this DHL Freight Network registration query. I have registered the pallet for you and attached the label to this ticket. The pallet is scheduled for collection on {DATE}. The cut-off time for registering pallets is 13:30 CET, one business day before the collection. After this cut-off time, pallets cannot be registered for the next day's collection. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
Request Pallet Dimensions (FN_Request_Dims),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out with this DHL Freight Network registration query. Could you please provide the dimensions and weight of this pallet? Once I have the dimensions, I can help you print the label. I will keep this ticket open to await your response. I look forward to hearing back from you. Kind Regards,",
Pallet Registration Error (FN_Pallet_Error),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name/Team, Thank you for reaching out. I'm sorry you are having issues registering DHL Freight Network orders. You should now be able to register your pallets as usual. This error was caused by an internal issue, which has been resolved. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
DHL Paket/DPD Collection Query (DHLPaket/DPD_Collection),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out to clarify your collection process. ****REMOVE ALL INFO THAT IS NOT RELEVANT ***** DHL PAKET: To schedule a collection with DHL Paket, please forward your completed booking form to gkspaket@deutschepost.de . You must include the unique account number (EKP) provided in your carrier setup email from eulogisticsetup@wayfair.com . If the form is missing from the email, the collection may not occur. DPD (POLAND): You must book your collection using the DPD Poland portal: https://online.dpd.com.pl/logout.do . Login details were provided in your carrier setup email from eulogisticsetup@wayfair.com . A step-by-step guide for using the portal is included here: https://partners.wayfair.com/help/2/article/1759 DPD (ALL OTHER COUNTRIES): To schedule a collection with DPD, please contact your local depot using the email provided in your carrier setup email from eulogisticsetup@wayfair.com . You must provide the following information: Number, dimensions, and weight of the parcels to collect Address and the date of the collection You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/1759 . ********** Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
GLS/UPS Collection Query (GLS/UPS_Collection),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out to clarify your collection process. ****REMOVE ALL INFO THAT IS NOT RELEVANT ***** GLS GERMANY: To schedule a collection with GLS, please contact your local depot using the email provided in your carrier setup email from eulogisticsetup@wayfair.com . You must provide the following information: Your unique account number (found in your carrier setup email) Number, dimensions, and weight of the parcels to collect Address and the date of the collection GLS SPAIN (ADHOC): To schedule a collection with GLS Spain, please contact cs.pickup@gls-spain.com quoting the unique account number provided in your carrier setup email from eulogisticsetup@wayfair.com . You must provide the following information: Number, dimensions, and weight of the parcels to collect Address and the date of the collection (Collection should always be for the following business day) GLS SPAIN (FIXED): As you are on a fixed collection schedule with GLS, they will arrive at the times outlined in your carrier setup email from eulogisticsetup@wayfair.com . No outreach to them is required. Please ensure the parcels are labelled and ready before the driver arrives. UPS: UPS collections are automatically scheduled based on each order's label print and 'Ready for Pickup Date'. The cut-off time for next-day collection is 8pm. Same-day collection is currently not available. If you select today as the 'Ready for Pickup Date', the system will automatically book the collection for the next day. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/972 . ********** Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
UK Small Parcel Collection Query (UK_SP_Collection),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out to clarify your collection process. ****REMOVE ALL INFO THAT IS NOT RELEVANT ***** DHL PARCEL UK: DHL Parcel UK collections are automatically booked based on the label print for each order. The cut-off time for same-day collection is 11am. Your unique account number and a customer service contact number were provided in your carrier setup email from eulogisticsetup@wayfair.com . You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/2437 . EVRI (AD-HOC SETUP): Evri ad-hoc collections are automatically booked based on the label print for each order. The cut-off time for next-day collection is 3pm. Please note labels only register on business days, meaning any labels printed at the weekend generate a collection for the following Tuesday. Your unique account number was provided in your carrier setup email from eulogisticsetup@wayfair.com . If you need to cancel your collection or printed a label in error, please notify Stock.Collections@Evri.com by 4pm the day before. This is vital to prevent any 'Nothing to Collect' surcharges. EVRI (FIXED SETUP): As you are on a fixed collection schedule with Evri, they will arrive at the times outlined in your carrier setup email from eulogisticsetup@wayfair.com . No outreach to them is required. Please ensure the parcels are labelled and ready before the driver arrives. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/2435 . UPS: UPS collections are automatically scheduled based on each order's label print and 'Ready for Pickup Date'. The cut-off time for next-day collection is 8pm. Same-day collection is currently not available. If you select today as the 'Ready for Pickup Date', the system will automatically book the collection for the next day. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/972 . ********** Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards",
Large Parcel Collection Query (LP_Collection),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out to clarify your collection process. ****REMOVE ALL INFO THAT IS NOT RELEVANT ***** AIT Home Delivery (ADHOC): To schedule a collection with AIT Home Delivery, please contact the respective depots with your parcel count and postcode: van.collections@aitworldwide.com - covers all van collection requests (low volume). trailer.collections@aitworldwide.com - covers all trailer or full van collection requests. You must request your collections by 1pm for the following day. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/941 . AIT Home Delivery (FIXED): As you are on a fixed collection schedule with AIT Home Delivery, they will arrive at the times outlined in your carrier setup email from eulogisticsetup@wayfair.com . No outreach to them is required. Please ensure the parcels are labelled and ready before the driver arrives. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/941 . WDN: Wayfair Delivery Network will collect the orders on the must-ship-by date, not earlier or later. Please ensure the parcels are labelled and ready before the driver arrives. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/1761 . XDP: XDP collections are automatically booked based on the label print for each order. The cut-off time for same-day collection is 12pm. If the label is printed after 12pm, the collection will be scheduled for the next working day. You can find more information on the collection process here: https://partners.wayfair.com/help/2/article/2433 . XPO: Please contact XPO at specserv.helpdesk@xpo.com or 0333 003 2700 to schedule your collection. The cut-off time for next-day collection is 5pm. All items must be palletized, and one label is required for each pallet. You can find further guidelines regarding carriers here: https://partners.wayfair.com/help/2/article/1542 ********** Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
POD/VAT Report Request (POD/VAT_Report_Request),Shipping/Carrier Questions SOP (DSC2S) - VCN,"Hi {SU Name}/Team, Thank you for reaching out with this VAT query and requesting the proof of delivery. Once the order reaches the final customer, you can download the proof of delivery from Partner Home: Navigate to Dropship Orders. Select Create VAT Report. Choose the required date range. Click Submit. A guide to downloading the proof of delivery can be found here: https://partners.wayfair.com/help/2/article/1359 . For any queries regarding the information included in your VAT Report, please enter a Finance & Accounting ticket and that team will be able to assist. Thanks again for reaching out. I am marking this ticket as complete. If you need further support with this issue, please comment to re-open. Help us improve by sharing your feedback. You will receive an email shortly with a survey, or you can provide feedback on any closed tickets in Partner Home. We sincerely value your partnership. Kind Regards,",
